Driver Name,Id Measure W,Pitch,Roll,Yaw
Matt,1,10.82261,60.83238,185.18788
Matt,2,12.57207,57.53913,180.91728
Matt,3,14.09059,54.32214,176.63649
Matt,4,15.56883,51.22139,172.37852
Matt,5,16.81468,48.28466,168.42222
Matt,6,18.00918,45.29909,164.67183
Matt,7,18.06338,42.81845,161.0069
Matt,8,18.72975,39.24806,157.24707
Matt,9,20.26134,36.70633,149.93566
Matt,10,21.9675,33.91268,144.99232
Matt,11,24.13221,32.18263,140.38478
Matt,12,24.17894,30.70751,134.99373
Matt,13,26.21503,29.32358,131.21246
Matt,14,26.51812,28.21928,125.72481
Matt,15,25.49081,26.53233,119.8157
Matt,16,21.94677,24.41051,115.51377
Matt,17,20.64447,23.69776,118.00581
Matt,18,22.85138,21.98572,119.68427
Matt,19,23.08334,20.67892,120.65201
Matt,20,23.01357,20.37186,118.95355
Matt,21,22.89964,18.95792,117.2368
Matt,22,24.36628,19.64833,113.71848
Matt,23,21.3024,19.35282,114.89561
Matt,24,22.09777,19.0422,114.71905
Matt,25,22.01447,17.85814,112.73474
Matt,26,20.32894,19.72644,107.47124
Matt,27,21.5582,16.9107,106.56141
Matt,28,20.44039,13.84806,108.55905
Matt,29,19.23573,13.58476,110.68182
Matt,30,19.36046,12.32172,107.9613
Matt,31,16.61399,12.88517,106.34525
Matt,32,16.38722,11.17764,106.65726
Matt,33,16.84579,10.84595,107.00144
Matt,34,16.90728,11.1104,105.46973
Matt,35,15.77184,11.54189,106.11393
Matt,36,15.90517,11.51612,104.45867
Matt,37,15.67045,7.47518,109.21513
Matt,38,13.16474,6.45334,110.34897
Matt,39,12.88193,7.20396,109.225
Matt,40,13.46997,4.20784,111.31259
Matt,41,12.01536,6.27263,107.90521
Matt,42,10.49124,7.32478,106.99016
Matt,43,10.64022,8.5859,106.47645
Matt,44,9.61138,7.69238,103.73456
Matt,45,6.90315,7.52187,103.95094
Matt,46,5.48091,8.82387,104.21466
Matt,47,4.84469,7.05553,109.50899
Matt,48,6.15626,5.6756,106.29882
Matt,49,7.49605,8.06678,105.76901
Matt,50,5.18205,5.24888,109.16994
Matt,51,5.77164,6.85682,106.55891
Matt,52,7.39768,9.53877,104.60715
Matt,53,7.04238,12.96431,104.32391
Matt,54,7.12611,12.3164,103.18609
Matt,55,5.56085,11.32115,103.37293
Matt,56,1.50166,11.28086,104.52212
Matt,57,3.43866,8.18175,108.65644
Matt,58,4.32457,5.09357,111.54053
Matt,59,3.65501,7.07751,111.36526
Matt,60,3.51286,5.45433,112.69665
Matt,61,2.38331,6.81152,109.79977
Matt,62,5.96363,10.2493,106.61668
Matt,63,5.38186,11.6749,104.90027
Matt,64,3.8706,11.53446,102.38421
Matt,65,1.86961,12.11951,103.61423
Matt,66,359.80423,12.07899,104.43965
Matt,67,3.87032,8.38917,105.66242
Matt,68,5.48803,5.56541,105.53148
Matt,69,4.76763,6.35727,103.36907
Matt,70,2.13722,6.40205,101.85548
Matt,71,2.40916,7.69373,97.53914
Matt,72,4.02525,9.37147,94.62155
Matt,73,5.33037,11.47277,90.36562
Matt,74,3.67305,12.39334,85.77889
Matt,75,3.70278,13.2971,84.50925
Matt,76,2.053,13.00311,86.7803
Matt,77,6.02374,10.32858,87.80663
Matt,78,7.48697,7.07824,87.02329
Matt,79,6.29372,7.66469,85.82077
Matt,80,4.58,7.90859,85.95997
Matt,81,3.24332,8.65702,84.93359
Matt,82,4.81844,9.67271,84.43467
Matt,83,4.93886,11.2091,82.55245
Matt,84,3.39181,13.21852,81.15367
Matt,85,3.26426,13.90879,82.01025
Matt,86,1.87023,15.40084,83.32499
Matt,87,2.94071,14.42013,88.75421
Matt,88,4.67538,11.50061,93.48649
Matt,89,6.46097,11.18034,91.66759
Matt,90,4.13773,10.57699,93.78802
Matt,91,1.96863,10.90342,94.10327
Matt,92,3.55121,10.46537,94.9862
Matt,93,3.67699,12.98293,94.63011
Matt,94,3.71083,14.66849,95.69458
Matt,95,2.11426,13.31194,95.45103
Matt,96,358.74032,14.03587,97.95575
Matt,97,357.39831,13.07994,101.91156
Matt,98,0.49162,11.36065,105.32483
Matt,99,2.21623,9.60647,107.00684
Matt,100,0.75675,8.70598,109.08207
Matt,101,0.34729,8.20579,110.08507
Matt,102,0.6801,8.08872,108.98852
Matt,103,3.48281,9.84523,108.80743
Matt,104,3.52585,10.90447,108.77787
Matt,105,2.96747,11.70787,105.83978
Matt,106,359.65579,11.53762,106.99794
Matt,107,359.81827,9.75622,110.54363
Matt,108,0.81789,5.87786,117.16956
Matt,109,0.59057,5.74883,116.87182
Matt,110,0.98688,5.64504,119.06033
Matt,111,0.85501,4.7828,118.11845
Matt,112,2.33216,4.79201,117.40769
Matt,113,3.1821,5.36082,117.86953
Matt,114,4.02897,7.06929,116.5805
Matt,115,2.42466,5.20776,115.86719
Matt,116,1.06877,5.7101,117.27433
Matt,117,0.32474,5.1608,117.26432
Matt,118,2.62581,3.45693,119.54906
Matt,119,2.86666,2.93649,119.00983
Matt,120,3.27488,2.62484,119.4165
Matt,121,1.70088,1.84776,117.81645
Matt,122,1.45296,2.72121,115.72529
Matt,123,3.27647,3.81393,114.67782
Matt,124,4.79187,5.62633,113.11918
Matt,125,4.19213,5.84931,110.67122
Matt,126,3.37783,5.8595,109.1088
Matt,127,0.93897,5.72513,110.1333
Matt,128,2.75739,3.92443,113.12695
Matt,129,2.72988,1.8556,114.51902
Matt,130,1.82021,2.39341,112.73157
Matt,131,1.79026,1.67541,113.9726
Matt,132,0.03435,0.87331,114.00849
Matt,133,0.21987,1.03414,112.47574
Matt,134,2.7096,1.46519,111.61709
Matt,135,3.41097,2.7261,109.68483
Matt,136,2.63971,2.37406,107.20902
Matt,137,0.95847,2.97002,107.46262
Matt,138,1.43881,2.66696,109.05388
Matt,139,3.67452,0.96551,111.23085
Matt,140,4.79631,1.59349,109.77263
Matt,141,2.93272,0.63856,109.64229
Matt,142,2.52269,359.13438,110.59425
Matt,143,2.46563,359.50857,109.78941
Matt,144,3.7184,0.49152,108.47926
Matt,145,4.99089,2.9502,108.0438
Matt,146,5.15349,4.16109,105.298
Matt,147,5.20614,4.7678,103.70976
Matt,148,0.72947,5.09271,104.53375
Matt,149,3.40583,4.68192,107.00671
Matt,150,5.01256,2.33843,106.91956
Matt,151,3.93623,4.34571,106.14188
Matt,152,3.31658,5.02252,108.94372
Matt,153,2.08439,4.24913,109.18946
Matt,154,2.67011,5.6685,107.92122
Matt,155,4.61641,6.25715,107.05569
Matt,156,3.83194,8.33572,105.20254
Matt,157,4.20487,7.04146,104.04918
Matt,158,0.77773,7.31335,106.5273
Matt,159,0.46395,7.82195,108.36448
Matt,160,2.31341,5.6807,111.63037
Matt,161,3.0341,6.13596,111.31187
Matt,162,2.53403,5.26405,111.75375
Matt,163,2.09838,4.2715,113.06896
Matt,164,1.07578,4.30525,112.04615
Matt,165,3.27839,4.30822,109.99696
Matt,166,4.22984,5.54154,109.94225
Matt,167,3.50354,5.94974,107.1435
Matt,168,1.98822,6.40495,106.83518
Matt,169,359.62048,6.96912,107.10114
Matt,170,1.10653,5.77367,109.57199
Matt,171,3.36604,3.5015,111.40369
Matt,172,2.96533,4.45048,109.84926
Matt,173,1.49527,4.06581,111.26033
Matt,174,1.07653,3.21755,111.09032
Matt,175,1.10442,3.04063,109.26419
Matt,176,3.52031,2.89963,108.16541
Matt,177,4.64563,4.22135,107.00438
Matt,178,5.22187,3.95165,104.03565
Matt,179,1.82955,4.556,103.03118
Matt,180,358.74889,6.12138,105.26907
Matt,181,0.74195,4.52738,109.11844
Matt,182,2.28691,3.67057,109.99967
Matt,183,1.41087,3.94782,109.22455
Matt,184,0.85753,4.5085,110.06876
Matt,185,359.63724,4.0383,110.38485
Matt,186,359.16262,3.01028,109.78328
Matt,187,0.55243,3.1383,108.30943
Matt,188,2.2069,3.41359,107.807
Matt,189,2.69194,4.18085,107.04433
Matt,190,3.44862,5.00546,104.87375
Matt,191,2.49204,4.27674,104.64104
Matt,192,0.31669,5.26429,104.66921
Matt,193,358.45445,6.52325,105.2858
Matt,194,358.42564,5.64445,108.22901
Matt,195,359.49835,4.049,111.01267
Matt,196,0.08566,3.59429,111.65866
Matt,197,359.88515,4.04638,110.26384
Matt,198,358.8939,3.66729,110.83192
Matt,199,358.17222,2.11805,112.41453
Matt,200,359.98155,2.09386,109.85896
Matt,201,1.51284,2.19693,108.7652
Matt,202,2.08807,3.67184,109.11276
Matt,203,2.16623,4.34562,106.9293
Matt,204,0.87064,5.05565,106.15429
Matt,205,357.7679,5.95983,108.44395
Matt,206,358.59502,5.3782,114.45271
Matt,207,0.71684,4.27301,118.98358
Matt,208,0.89059,4.88436,120.74673
Matt,209,0.99833,4.64132,123.96509
Matt,210,359.73931,3.11084,126.30748
Matt,211,359.77607,2.74507,126.56963
Matt,212,2.11578,3.95234,126.88206
Matt,213,0.92413,4.81047,127.65193
Matt,214,0.74865,4.21513,128.37237
Matt,215,0.69243,2.97095,130.43205
Matt,216,359.75875,3.61014,133.63898
Matt,217,358.72086,4.1065,139.0267
Matt,218,1.43973,4.26988,143.69971
Matt,219,1.62954,2.76074,148.27886
Matt,220,4.018,2.18034,150.86937
Matt,221,3.2119,359.76172,154.02825
Matt,222,2.56416,358.77987,156.36453
Matt,223,2.06157,359.40526,158.16112
Matt,224,1.79487,357.98646,160.86625
Matt,225,3.15282,357.04208,162.96998
Matt,226,2.36978,357.25413,163.47603
Matt,227,0.45887,354.80532,164.86019
Matt,228,0.12977,354.87084,164.38599
Matt,229,359.58674,354.29299,166.84824
Matt,230,359.34814,355.65176,168.71025
Matt,231,0.64889,355.61057,170.72066
Matt,232,2.10176,355.62486,172.36798
Matt,233,1.70351,354.11724,175.55475
Matt,234,2.18711,354.50338,177.1681
Matt,235,1.46183,353.05367,178.96878
Matt,236,359.85787,353.04724,177.24285
Matt,237,358.41158,351.68245,175.56404
Matt,238,359.32696,351.19869,174.61965
Matt,239,359.50793,353.02983,173.38913
Matt,240,0.56445,353.31856,171.09728
Matt,241,0.33513,353.59995,168.33824
Matt,242,0.13286,355.4041,167.17592
Matt,243,358.60875,356.15251,167.72804
Matt,244,1.06331,356.02039,169.2568
Matt,245,0.58843,356.62824,169.71267
Matt,246,0.17919,357.70061,170.12761
Matt,247,358.06958,357.26675,170.0526
Matt,248,358.32019,357.12828,170.54374
Matt,249,357.74223,357.84687,169.06612
Matt,250,0.07961,358.07164,168.46044
Matt,251,1.0033,358.53128,170.11484
Matt,252,1.26754,0.1799,169.92925
Matt,253,0.15458,359.16803,169.92785
Matt,254,359.90793,359.22816,171.86436
Matt,255,359.79396,0.139,174.3494
Matt,256,1.18974,1.21522,176.84447
Matt,257,1.69333,1.13294,180.84565
Matt,258,4.29228,1.69919,183.60946
Matt,259,4.05275,359.81791,187.32742
Matt,260,4.2009,1.07265,188.64088
